name,sqm,year_built,Price(EGP),Price/Sqm,has_main_facilities,has_security_features,has_parking_safety,has_building_facilities,has_other_features,HighFloor,LowFloor,MidFloor,FloorNumber,BuildingNumber,UnitNumber,has_modern,has_facilities,has_green_view,has_water_feature,Bedroom_0,Bedroom_1,Bedroom_2,Bedroom_3,Bedroom_above 3,Bathroom_0,Bathroom_1,Bathroom_2,Bathroom_above 2,city_Cairo,city_Mansoura,city_Mersa Matruh,city_New Administrative Capital,city_New Cairo,city_North Coast,city_Old Cairo,governorate_Alexandria,governorate_Cairo,governorate_Dakahlia,governorate_Matrouh,propertyCategory_Commercial,propertyCategory_Residential,propertySubType_Apartment (Residential - Multi-Story Units),propertySubType_Office,propertySubType_Others(very rare),propertySubType_Residential - Attached Houses,propertySubType_Retail,Is sqm outlier,Is Price/Sqm outlier,Is Price(EGP) outlier,Is BuildingNumber outlier,Is FloorNumber outlier,Is UnitNumber outlier,log(sqm),log(price),log(price/sqm)
Alamain (Latin District),187.73,2025,4522000,24087.7856,1,1,0,0,1,0,0,1,7,1,5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.23500476033627,15.324464931820053,10.089460169424516
Zahya,891.0,2024,22024000,24718.2941,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,True,False,False,False,False,False,6.792344427470809,16.90764332580458,10.115298900290727
Latin City,181.0,2022,6321000,34922.6519,1,1,0,1,1,0,1,0,0,6,659,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.198497031265826,15.659387981454437,10.460890949223574
AlMaqsad Park,155.0,2025,4900000,31612.9032,1,1,0,0,1,0,0,1,6,12,1263,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.043425116919247,15.404745763080856,10.361320645345282
Latin City,206.0,2025,11227000,54500.0,0,1,0,0,1,0,0,1,3,422,422302,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,True,False,True,5.327876168789581,16.233832149440918,10.905955980651335
Mazarine Apartment,252.0,2025,12984000,51523.8095,1,1,0,0,0,0,0,1,3,13,1332,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.529429087511423,16.379228388176564,10.849799300203033
Central,176.52,2025,38551000,218394.5162,1,1,0,1,0,0,1,0,2,5,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,False,True,True,False,False,False,5.173434184401347,17.467492597974392,12.294058413563292
Mazarine Apartment,229.53,2022,17241000,75114.3641,1,1,0,1,1,0,0,1,6,4,42,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,False,5.4360337399118706,16.662800826157987,11.226767085774743
Latin City,134.0,2025,6505000,48544.7761,0,1,0,0,1,0,0,1,4,3,301408,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,False,False,False,False,False,True,4.897839799950911,15.688081669928742,10.79024186957814
Alamain (Latin District),204.3,2025,6292000,30797.8463,1,1,0,0,1,0,0,1,7,12,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,False,False,False,False,False,False,5.319589501823576,15.654789543160305,10.3352000411921
